Spain, Death rates (period 1x10), 	Last modified: 23 Feb 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1940-1949       94             0.253368        0.301579        0.264039
1940-1949       95             0.308768        0.346798        0.316901
1940-1949       96             0.355999        0.416893        0.368526
1940-1949       97             0.362644        0.430660        0.375894
1940-1949       98             0.508098        0.596189        0.524305
1940-1949       99             0.443202        0.578588        0.466240
1940-1949      100             0.530852        0.661937        0.550879
1940-1949      101             0.303996        0.365010        0.312642
1940-1949      102             0.422680        0.473172        0.429755
1940-1949      103             0.451955        0.395025        0.443819
1940-1949      104             0.448804        0.541042        0.461873
1940-1949      105             0.433352        0.604868        0.455347
1940-1949      106             0.393427        0.408395        0.395267
1940-1949      107             0.353079        0.406631        0.360089
1940-1949      108             0.295143        0.256410        0.289946
1940-1949      109             0.209392        0.305820        0.221303
1940-1949      110+            0.451873        0.351862        0.440290
1950-1959        0             0.054380        0.066047        0.060356
1950-1959        1             0.007843        0.007887        0.007865
1950-1959        2             0.004194        0.004465        0.004333
1950-1959        3             0.002599        0.002713        0.002657
1950-1959        4             0.001836        0.002045        0.001943
1950-1959        5             0.001398        0.001587        0.001495
1950-1959        6             0.001228        0.001398        0.001315
1950-1959        7             0.001016        0.001186        0.001103
1950-1959        8             0.000873        0.001001        0.000938
1950-1959        9             0.000753        0.000931        0.000844
1950-1959       10             0.000749        0.000954        0.000853
1950-1959       11             0.000671        0.000846        0.000760
1950-1959       12             0.000720        0.000860        0.000791
1950-1959       13             0.000741        0.000892        0.000818
1950-1959       14             0.000845        0.001055        0.000952
1950-1959       15             0.000847        0.001096        0.000973
1950-1959       16             0.000951        0.001166        0.001060
1950-1959       17             0.001062        0.001362        0.001213
1950-1959       18             0.001148        0.001653        0.001402
1950-1959       19             0.001122        0.001667        0.001395
1950-1959       20             0.001330        0.001844        0.001587
1950-1959       21             0.001231        0.001800        0.001514
1950-1959       22             0.001494        0.001985        0.001737
1950-1959       23             0.001510        0.001967        0.001736
1950-1959       24             0.001540        0.002159        0.001846
1950-1959       25             0.001596        0.002252        0.001919
1950-1959       26             0.001688        0.002285        0.001982
1950-1959       27             0.001816        0.002382        0.002094
1950-1959       28             0.001854        0.002509        0.002176
1950-1959       29             0.001688        0.002273        0.001975
1950-1959       30             0.001982        0.002599        0.002283
1950-1959       31             0.001602        0.002300        0.001940
1950-1959       32             0.002034        0.002679        0.002345
1950-1959       33             0.002000        0.002703        0.002337
1950-1959       34             0.002068        0.002715        0.002377
1950-1959       35             0.002196        0.002970        0.002564
1950-1959       36             0.002368        0.003062        0.002696
